Column1,CAUSE_LOB_CORP_ID,CAUSE_LOB_DESC,Count(*)
1,?,  Customer Education                                                                                                                                                                                                                                           ,1
2,?,Ownership / Timeliness                                                                              ,2
3,?,TBD                                                                                                                                                                                                                                                            ,917
4,?, Process Improvement Opportunity                                                                                                                                                                                                                               ,1
5,?,?,4661
6,1,Documentation                                     ,3
7,1,Solicitation                                      ,15
8,1,Letter Verbiage                                                                 ,52
9,1,Lack of Customer Communication                                                                      ,2
10,1,Disclosure                                                                      ,1
11,1,Communication                                                                   ,11094
12,1,Disclosure Fees                                   ,52
13,1,Letter Request                                                                  ,295
14,2,Ownership/Timeliness                                                            ,282
15,2,Ownership/ Timeliness                                                                                                                                                                                                                                          ,10
16,2,Ownership / Timeliness                                                                                                                                                                                                                                         ,3301
17,2,Third Party/Anonymous                             ,83
18,2,Claims: Cycle Time                                                              ,5
19,2,Account Setup Issues                                                            ,14
20,2,Timeliness                                                                      ,3
21,3,Systematic Error                                                                ,1
22,3,Dividend or Interest                              ,25
23,3,Proxy/Prospectus                                  ,7
24,3,Reorganization/Redemption                         ,49
25,3,Fees/Commissions                                  ,751
26,3,Acct Admin and Processing - Daily Activities      ,758
27,3,On-Line Trading                                   ,318
28,3,Process Issue Opportunity       ,2
29,3,On-Line Issues                                    ,540
30,3,Acct Admin and Processing - Account Maintenance   ,1226
31,3,Tax Reporting                                     ,300
32,3,Margin                                            ,67
33,3,Process Issue / Opportunity                                                     ,3545
34,3,Receipt and/or Delivery of Securities             ,85
35,3,Client                                                                          ,2
36,3,Process Improvement Opportunity                                                                                                                                                                                                                                ,3606
37,3,Acct Admin and Processing - Account Opening       ,279
38,3,Transfer of Accounts                              ,391
39,3,Execution                                         ,257
40,3,Process Issue/Opportunity                                                       ,1609
41,3,Regulation S-P                                    ,90
42,3,Process Issue/ Opportunity                                                                                                                                                                                                                                     ,28
43,3,Receipt and/or Disbursement of Funds              ,1614
44,3,Processing Errors                                                                                   ,12
45,3,Statements/Confirmation                           ,145
46,4,Claims: Error in Credit/Reimbursement                                           ,1
47,4,TM Processing Error                                                             ,2
48,4,WF Team Member Knowledge                                                                                                                                                                                                                                       ,1630
49,4,Team Member Error                                                               ,6
50,4,Data Entry Error                                                                                    ,1
51,5,WF Team Member Customer Centri,126
52,5,Poor Service                                      ,933
53,5,WF Team Member Customer Centricity                                              ,3016
54,5,Customer Service Issues                                                         ,5
55,5,BSC Misrepresentation                                                           ,44
56,5,Poor Customer Service                                                           ,13
57,5,Claims: Service/Treatment                                                       ,1
58,5,Banking Relationship                                                            ,1
59,5,WF Team Customer Centricity     ,4
60,6,Pledge Inquiry                                                                  ,47
61,6,Claims Inquiry                                                                  ,486
62,6,Release Pricing Increase                                                        ,2
63,6,Banking Issues                                                                  ,7
64,6,Routine                                                                                                                                                                                                                                                        ,10
65,6,Return Item Inquiry                                                             ,22
66,6,Hard Hold Inquiry                                                               ,470
67,6,Customer Education                                                                                                                                                                                                                                             ,50437
68,6,Referred to Previous Employer                     ,17
69,6,Claims: Documentary Denial                                                      ,74
70,6,Fraud                                                                           ,2
71,6,Identity Theft Inquiry                                                          ,75
72,6,1099-K Reporting                                                                ,2
73,6,Account Close Inquiry                                                           ,186
74,6,Neg Wells Record Inquiry                                                        ,79
75,6,Lack of Customer Education                                                                          ,24
76,7,Lease Cancellation                                                              ,15
77,7,Customer disagrees with decision/process                                                            ,2
78,7,Security Cancellation                                                           ,1
79,7,Credit Inquiry                                                                  ,1
80,7,Poor Performance                                  ,273
81,7,Poor Recommendation/Poor Advice                   ,137
82,7,Collections                                                                     ,9
83,7,Managed Accounts                                  ,10
84,7,Invalid Billing                                                                 ,6
85,7,Account Closure                                                                 ,216
86,7,Equipment Billing                                                               ,2
87,7,Pricing/Processing Fees                                                         ,27
88,7,Identity Theft                                    ,22
89,7,Business Closed                                                                 ,3
90,7,Misappropriation/Forgery                          ,18
91,7,Cancellation                                                                    ,11
92,7,Security Funding Diversion/Reserve                                              ,1
93,7,Customer Disagreement                                                                                                                                                                                                                                          ,25932
94,7,Sold Business                                                                   ,2
95,7,Security/Risk Issues                                                            ,13
96,7,Account Closure customer disagreement                                           ,104
97,7,Other Theft/Forgery                               ,83
98,7,misdirected-customer disagreement                                               ,93
99,7,FDGL Billing Issues                                                             ,5
100,7,Miscellaneous Firm-Related Complaint              ,196
101,7,Miscellaneous                                     ,48
102,7,Claims: Judgmental Denial                                                       ,52
103,7,Failure to Follow Instructions                    ,112
104,7,Cross Velocity Inguiry                                                          ,1
105,7,Early Termination Fee                                                           ,12
106,7,Misrepresentation                                 ,269
107,7,Claims: Timeliness Denial                                                       ,5
108,7,Referral                                          ,441
109,7,Equipment Functionality                                                         ,9
110,7,Account Information Disputed                                                                        ,1
111,7,Research (Firm)                                   ,1
112,7,Credit Decline                                                                  ,4
113,7,Reg CC Policy                                                                   ,4
114,7,Bank Policy Procedure and Features                                                                 ,8
115,7,Excessive Trading                                 ,30
116,7,Claim Decision                                                                  ,259
117,7,Chargebacks                                                                     ,15
118,7,Unauthorized Trades                               ,188
119,7,Neg Wells Record Dispute                                                        ,12
120,7,Suitability                                       ,141
121,7,Inquiry                                           ,221
122,7,Suspect ID customer disagreement                                                ,1
123,7,Failure to Supervise                              ,2
