Column1,PRIM_CMPLNT_RSN_LOB_CORP_ID,PRIM_CMPLNT_RSN_LOB_DESC,Count(*)
1,?,DBEN-ResearchPCPLevel                                                                                                                                                                                   ,1
2,?,Trading-Interaction                                                                                                                                                                                     ,1
3,?,Website-PasswordPINReset                                                                                                                                                                                ,2
4,?,Reverse Mortgage | Foreclosure | Fees                                                                                                                                                                                                                          ,1
5,?, Insurance | Hazard | Lender Placed (LP)                                                                                                                                                                                                                       ,1
6,?,  Default | Short Sale | Decision process                                                                                                                                                                                                                      ,1
7,?,Reverse Mortgage | Foreclosure | Other                                                                                                                                                                                                                         ,3
8,?,RSC-CallBack                                                                                                                                                                                            ,2
9,?,?,19400
10,1,ATM/Purchase Limit Changes                                                      ,30
11,1,Exception Payments - Claim                                                      ,3
12,1,Levy                                                                            ,39
13,1,Condition or Machine Operational Availability                                   ,61
14,1,Location or Machine Wanted                                                      ,1
15,1,Features - Changed                                                              ,2
16,1,Claim                                                                           ,2
17,1,Menu Options                                                                    ,5
18,1,PIN                                                                             ,4
19,1,Writ                                                                            ,6
20,1,Account Access                                                                                      ,989
21,1,Features - Available                                                            ,9
22,1,ATM Receipts                                                                    ,2
23,2,Account Linkage                                                                                     ,26
24,2,Account/Card Linkage                                                            ,40
25,3,Account Close                                                                                       ,614
26,3,Account/Card Close                                                              ,1
27,3,Tracking only (PRO cases handled by non-R&C)                                    ,1
28,3,Request to Close Account                                                        ,2
29,3,Card Closure                                                                    ,820
30,3,Bank Closure                                                                    ,123
31,3,Exception Payments - Request to Close Account                                   ,3
32,3,Account Closure                                                                 ,383
33,3,Cancellation                                                                    ,12
34,3,Customer Request to Close Account                                               ,11
35,4,Account Opening (e.g. application issues)                                       ,3
36,4,Account Setup                                                                   ,8
37,4,Account Opening                                                                                     ,342
38,4,Account/Card Opening                                                            ,16
39,4,Acct Admin and Processing - Account Opening       ,279
40,4,Account Opening (e.g. applicat,20
41,5,Update Account Status Request                                                   ,6
42,5,Acct Admin and Processing - Account Maintenance   ,1226
43,5,Acct Admin and Processing - Daily Activities      ,758
44,5,Customer Contact | General Inquiry | Evidence of loan application                                                                                                                                                                                              ,11
45,5,Account/Card Status                                                             ,171
46,5,Customer Contact | General Inquiry | Benefit Request/ Eligibility                                                                                                                                                                                              ,38
47,5,Account Status                                                                  ,619
48,6,Divorce Decree                                                                  ,12
49,6,Co-signer Removal                                                               ,32
50,6,Ownership                                                                       ,83
51,6,Account/Card Titling                                                            ,7
52,6,Account Title                                                                   ,157
53,7,ACH /Auto-Pay,7
54,7,ACH/Auto-Pay                                                                    ,121
55,8,Account Maintenance                                                             ,1
56,8,Address Change                                                                  ,91
57,9,Application Processing Delay,8
58,10,Arbitration                                                                     ,1
59,11,Authentication                                                                                      ,52
60,12,Third Party/Anonymous                             ,83
61,12,Customer Contact | General Inquiry | Authorization                                                                                                                                                                                                             ,433
62,12,Authorization to Inquire,14
63,13,Balance Transfer                                                                ,7
64,14,Bankruptcy Handling Issues                                                                          ,3
65,14,Default | Bankruptcy | Miscellaneous                                                                                                                                                                                                                           ,67
66,14,Default | Bankruptcy | Filing of Bankruptcy                                                                                                                                                                                                                    ,152
67,14,Default | Bankruptcy | Multiple Borrowers Only One Filed Bankruptcy                                                                                                                                                                                            ,21
68,14,Default | Bankruptcy | Statement Disclaimer                                                                                                                                                                                                                    ,15
69,14,Default | Bankruptcy | Bullet Point Letters                                                                                                                                                                                                                    ,92
70,14,Reverse Mortgage | Bankruptcy | Fees                                                                                                                                                                                                                           ,2
71,14,Default | Bankruptcy | Motion for Relief (MFR)                                                                                                                                                                                                                 ,15
72,14,Default | Bankruptcy | Consent Order                                                                                                                                                                                                                           ,9
73,14,Default | Bankruptcy | Reaffirmation                                                                                                                                                                                                                           ,188
74,14,Default | Bankruptcy | Collection Attempts                                                                                                                                                                                                                     ,133
75,14,Bankruptcy - Reaffirmation                                                      ,7
76,14,Default | Bankruptcy | Funds / Payments                                                                                                                                                                                                                        ,371
77,14,Default | Bankruptcy | Administrative                                                                                                                                                                                                                          ,93
78,14,Bankruptcy - Violated Stay                                                      ,1
79,14,Default | Bankruptcy | Escrow                                                                                                                                                                                                                                  ,14
80,14,Default | Bankruptcy | Proof of Claim                                                                                                                                                                                                                          ,25
81,14,Bankruptcy                                                                      ,73
82,14,Default | Bankruptcy | Fee Assessment                                                                                                                                                                                                                          ,54
83,14,Default | Bankruptcy | Information / Status Request                                                                                                                                                                                                            ,192
84,14,Default | Bankruptcy | Attorney Approval                                                                                                                                                                                                                       ,34
85,15,Bi-Lingual                                                                                          ,1
86,16,Mobile Banking - Bill Pay                                                       ,4
87,16,Bill Pay                                                                        ,330
88,17,Transactional Dispute                                                           ,97
89,17,Balance Dispute                                                                 ,124
90,17,Special Terms - Promotional Dispute                                             ,17
91,17,Disputes Minimum Payment                                                        ,3
92,17,Special Terms - Disputes Minimum Payment                                        ,10
93,17,Other                                                                           ,17
94,17,Processing Fees                                                                 ,10
95,17,Special Terms - Interest Accrual                                                ,185
96,17,Special Terms - Promotional Rates                                               ,1
97,18,Blocks/Holds                                                                                        ,399
98,18,Pledge                                                                          ,50
99,18,Security/Risk Issues                                                            ,13
100,18,Security Reserve                                                                ,1
101,18,EWS Pledge                                                                      ,3
102,19,Calculation Error                                                               ,6
103,20,Cash Advance,2
104,21,Change In Terms                                                                 ,44
105,21,Refinance                                                                       ,5
106,21,Release                                                                         ,2
107,21,Minpay Campaign                                                                 ,220
108,21,Reprice Campaign                                                                ,18
109,21,Customer Contact | General Inquiry | Loan Term Adjustment                                                                                                                                                                                                      ,301
110,22,Charge-off                                                                      ,80
111,22,Charge-off Reversal                                                             ,4
112,22,Charge Off                                                                      ,75
113,23,Check Order                                                                     ,81
114,24,Right of Offset                                                                 ,47
115,24,Collections/Right of Offset                                                     ,102
116,24,Collections - Process                                                           ,2
117,25,Default | Collections | Bullet Point Letters                                                                                                                                                                                                                   ,45
118,25,Dispute - Collection Debt                                                       ,1
119,25,Default | Collections | Other                                                                                                                                                                                                                                  ,91
120,25,Cease Calls                                                                     ,10
121,25,Default | Collections | Fee Assessment                                                                                                                                                                                                                         ,880
122,25,Collection Tactic:  Excessive Attempts                                          ,67
123,25,Deferment / Forbearance                                                         ,6
124,25,Collection Tactics:  Phone Number Used                                          ,14
125,25,Sale of Account                                                                 ,26
126,25,OD Debt Dispute                                                                 ,2
127,25,Collection Tactic: Calling 3rd Party                                            ,34
128,25,Deceased Customer                                                               ,5
129,25,Payment Arrangements                                                            ,123
130,25,Collection Debt Dispute,6
131,25,Debt Validation                                                                 ,75
132,25,ADT                                                                             ,21
133,25,Field Chase                                                                     ,1
134,25,Collections - Balance                                                           ,15
135,25,Collection/Debt Dispute                                                                                                                                                                                                                                        ,2
136,25,Default | Collections | Collection Attempts                                                                                                                                                                                                                    ,1069
137,25,Reverse Mortgage | Collections / Home Preservation / SPOC | Collection Attempts                                                                                                                                                                                ,5
138,25,Cease and Desist                                                                ,76
139,26,Community Support                                                               ,4
140,27,(WS) Contract Provisions                                                        ,5
141,27,(WS) Contract Exclusion                                                         ,18
142,27,(WS) Parts not Listed                                                           ,5
143,28,Convenience Checks                                                              ,2
144,29,Credit Bureau Issues                                                            ,207
145,29,ChexSystems                                                                     ,1
146,29,Originations | Credit Reporting | Inquiry Removal                                                                                                                                                                                                              ,6
147,29,Originations | Credit Reporting | Permissible purpose for inquiry                                                                                                                                                                                              ,7
148,29,Debt/Guarantor Validation                                                       ,12
149,29,Courtesy Update Request                                                         ,121
150,29,Other                                                                           ,21
151,29,Right of Offset                                                                 ,67
152,29,SBFE Dispute (1st Time)                                                         ,18
153,29,CBR Dispute (1st Time)                                                          ,4
154,29,Originations | Credit Reporting | Inaccurate Information                                                                                                                                                                                                       ,6
155,29,Originations | Credit Reporting | Number of Inquiries                                                                                                                                                                                                          ,7
156,29,Dispute Status Removal Request                                                  ,15
157,29,Inquiry Removal                                                                 ,27
158,29,Disagrees With Report                                                           ,556
159,29,Default | Reporting | Previous Lender                                                                                                                                                                                                                          ,2
160,30,Relook                                                                          ,19
161,30,Charge not honored                                                              ,3
162,30,Other                                                                           ,7
163,30,Credit Decision (e.g. decision,21
164,30,Approval is Less Than the Credit Limit Requested                                ,1
165,30,Credit Decision                                                                                     ,316
166,30,Application Processing Delay                                                    ,12
167,30,Application Denial                                                              ,116
168,30,Originations | Lender | Decisioning Issue (Underwriter / Mortgage Specialist)                                                                                                                                                                                  ,379
169,31,Margin                                            ,67
170,31,Disbursement Amount                                                             ,4
