APPL_ID,RSLTN_LOB_CORP_ID,RSLTN_LOB_DESC,Count(*),NEW MAP FOR RESOLUTION DESCRIPTION
CI,?,?,56,
CI,1,Customer Request: Not Honored / No Change                                                                                                                                                                                                                      ,3,Customer Request: Not Honored / No Change
CI,2,Customer Request: Fully Honored                                                                                                                                                                                                                                ,15,Customer Request: Fully Honored
CI,3,Customer Request: Partially Honored                                                                                                                                                                                                                            ,6,Customer Request: Partially Honored
CI,4,Insufficient information                                                                                                                                                                                                                                       ,1,Insufficient information
COMPASS,?,?,4785,
COMPASS,1,Customer Request: Not Honored / No Change                                                                                                                                                                                                                      ,3280,Customer Request: Not Honored / No Change
COMPASS,2,Customer Request: Fully Honored                                                                                                                                                                                                                                ,5047,Customer Request: Fully Honored
COMPASS,3,Customer Request: Partially Honored                                                                                                                                                                                                                            ,1789,Customer Request: Partially Honored
COMPASS,4,Insufficient information                                                                                                                                                                                                                                       ,191,Insufficient information
COMPASS,5,N/A - Cancelled                                                                                                                                                                                                                                                ,1200,N/A Ð Cancelled
CQDB,?,?,2,
CQDB,5,No Change – remove from review                                                                                                                                                                          ,2,N/A Ð Cancelled
DISPUTEMAX,?,?,565,
DISPUTEMAX,1,Resolved                      ,1342,Customer Request: Not Honored / No Change
DISPUTEMAX,1,Settled                       ,98,Customer Request: Not Honored / No Change
DISPUTEMAX,3,Denied by Firm                ,208,Customer Request: Partially Honored
DISPUTEMAX,3,Transferred to Arb/Civil      ,1,Customer Request: Partially Honored
DISPUTEMAX,5,Withdrawn                     ,3,N/A Ð Cancelled
EITS,1,Customer Request: Not Honored / No Change                                                           ,325,Customer Request: Not Honored / No Change
EITS,2,Customer Request: Fully Honored                                                                     ,535,Customer Request: Fully Honored
EITS,3,Customer Request: Partially Honored                                                                 ,234,Customer Request: Partially Honored
EITS,4,Insufficient information                                                                            ,314,Insufficient information
EITS,5,N/A - Cancelled                                                                                     ,3,N/A Ð Cancelled
Focus     ,?,In Progress                                                                                         ,1,
Focus     ,2,New Decision–New Info/Docs–Full Resolution                                                          ,1,Customer Request: Fully Honored
Focus     ,3,New Decision–New Info/Docs–Partial Resolution                                                       ,3,Customer Request: Partially Honored
FUSION                          ,?,?,29,
FUSION                          ,1,Customer Request-Fully Honored                      ,3,Customer Request: Fully Honored
FUSION                          ,3,Customer Request-Not Honored/No Change              ,9,Customer Request: Not Honored / No Change
FUSION                          ,5,N/A-Cancelled                                       ,28,N/A Ð Cancelled
Pac2000,?,?,20,
Pac2000,1,Original Decision Stood - Clarification provided,7,Customer Request: Not Honored / No Change
Pac2000,2,New Decision - New Info / Docs - Full Resolution,209,Customer Request: Fully Honored
Pac2000,3,New Decision - New Info / Docs - Partial Resolutio,2,Customer Request: Partially Honored
Pac2000,4,No Decision - Insufficient Information,5,Insufficient information
Pac2000,5,N/A - Cancelled,1,N/A Ð Cancelled
UW (8C-USM/PASS)    ,?,?,2638,
UW (8C-USM/PASS)    ,1,Customer Request: Not Honored / No Change                                       ,2317,Customer Request: Not Honored / No Change
UW (8C-USM/PASS)    ,1,Clarification Provided                                                          ,152,Customer Request: Not Honored / No Change
UW (8C-USM/PASS)    ,2,Customer Request: Fully Honored                                                 ,1873,Customer Request: Fully Honored
UW (8C-USM/PASS)    ,3,Customer Request: Partially Honored                                             ,715,Customer Request: Partially Honored
UW (8C-USM/PASS)    ,4,Insufficient Information                                                        ,156,Insufficient information
UW (8C-USM/PASS)    ,5,N/A - Cancelled                                                                 ,142,N/A Ð Cancelled
