Column1,SCNDRY_CMPLNT_RSN_LOB_CORP_ID,SCNDRY_CMPLNT_RSN_LOB_DESC,Count(*)
1,?,Reverse Mortgage | Payments / Disbursements | TBD                                                                                                                                                                                                              ,1
2,?, Default | Bankruptcy | Collection Attempts                                                                                                                                                                                                                    ,1
3,?,Reverse Mortgage | Repairs | Inspection                                                                                                                                                                                                                        ,1
4,?,?,109558
5,1,Levy                                                                            ,1
6,1,Condition or Machine Operational Availability                                   ,7
7,1,Default | Reporting | Telephone System                                                                                                                                                                                                                         ,1
8,1,Account Access                                                                                      ,77
9,2,Account Linkage,5
10,3,Account Close                                                                   ,160
11,3,Card Closure                                                                    ,1
12,3,Bank Closure                                                                    ,21
13,3,Account Closure                                                                 ,6
14,3,Customer Request to Close Account                                               ,8
15,4,Account Opening                                                                 ,77
16,4,Account/Card Opening                                                            ,3
17,4,Account Opening (e.g. applicat,6
18,5,Customer Contact | General Inquiry | Evidence of loan application                                                                                                                                                                                              ,1
19,5,Account/Card Status                                                             ,3
20,5,Customer Contact | General Inquiry | Benefit Request/ Eligibility                                                                                                                                                                                              ,2
21,5,Account Status                                                                  ,82
22,6,Divorce Decree                                                                  ,2
23,6,Co-signer Removal                                                               ,1
24,6,Ownership                                                                       ,5
25,6,Account Title                                                                                       ,38
26,7,ACH /Auto-Pay,3
27,7,ACH/Auto-Pay                                                                    ,29
28,8,Address Change                                                                  ,26
29,9,Application Processing Delay,2
30,11,Authentication                                                                  ,25
31,12,Customer Contact | General Inquiry | Authorization                                                                                                                                                                                                             ,224
32,12,Authorization to Inquire                                                        ,3
33,14,Default | Bankruptcy | Miscellaneous                                                                                                                                                                                                                           ,39
34,14,Default | Bankruptcy | Filing of Bankruptcy                                                                                                                                                                                                                    ,46
35,14,Default | Bankruptcy | Multiple Borrowers Only One Filed Bankruptcy                                                                                                                                                                                            ,5
36,14,Default | Bankruptcy | Bullet Point Letters                                                                                                                                                                                                                    ,9
37,14,Default | Bankruptcy | Statement Disclaimer                                                                                                                                                                                                                    ,3
38,14,Default | Bankruptcy | Motion for Relief (MFR)                                                                                                                                                                                                                 ,2
39,14,Default | Bankruptcy | Consent Order                                                                                                                                                                                                                           ,1
40,14,Default | Bankruptcy | Reaffirmation                                                                                                                                                                                                                           ,39
41,14,Default | Bankruptcy | Collection Attempts                                                                                                                                                                                                                     ,17
42,14,Bankruptcy - Reaffirmation                                                      ,2
43,14,Default | Bankruptcy | Funds / Payments                                                                                                                                                                                                                        ,71
44,14,Default | Bankruptcy | Administrative                                                                                                                                                                                                                          ,14
45,14,Default | Bankruptcy | Escrow                                                                                                                                                                                                                                  ,4
46,14,Default | Bankruptcy | Proof of Claim                                                                                                                                                                                                                          ,5
47,14,Bankruptcy                                                                      ,11
48,14,Default | Bankruptcy | Fee Assessment                                                                                                                                                                                                                          ,6
49,14,Default | Bankruptcy | Information / Status Request                                                                                                                                                                                                            ,68
50,14,Default | Bankruptcy | Attorney Approval                                                                                                                                                                                                                       ,6
51,15,Bi-Lingual                                                                                          ,2
52,16,Bill Pay                                                                        ,11
53,17,Transactional Dispute                                                           ,8
54,17,Balance Dispute                                                                 ,61
55,17,Special Terms - Promotional Dispute                                             ,4
56,17,Disputes Minimum Payment                                                        ,1
57,17,Special Terms - Disputes Minimum Payment                                        ,6
58,17,Special Terms - Interest Accrual                                                ,11
59,18,Blocks/Holds                                                                    ,60
60,18,Pledge                                                                          ,2
61,19,Calculation Error                                                               ,3
62,21,Change In Terms                                                                 ,14
63,21,Customer Contact | General Inquiry | Loan Term Adjustment                                                                                                                                                                                                      ,33
64,22,Charge-off                                                                      ,48
65,22,Charge Off                                                                      ,13
66,23,Check Order                                                                     ,19
67,24,Right of Offset                                                                 ,9
68,24,Collections/Right of Offset                                                     ,24
69,25,Default | Collections | Bullet Point Letters                                                                                                                                                                                                                   ,11
70,25,Default | Collections | Other                                                                                                                                                                                                                                  ,32
71,25,Default | Collections | Fee Assessment                                                                                                                                                                                                                         ,209
72,25,Collection Tactic:  Excessive Attempts                                          ,10
73,25,Deferment / Forbearance                                                         ,4
74,25,Collection Tactics:  Phone Number Used                                          ,2
75,25,Sale of Account                                                                 ,13
76,25,Payment Arrangements                                                            ,16
77,25,Deceased Customer                                                               ,2
78,25,Collection Debt Dispute,2
79,25,Debt Validation                                                                 ,32
80,25,ADT                                                                             ,2
81,25,Default | Collections | Collection Attempts                                                                                                                                                                                                                    ,118
82,25,Cease and Desist                                                                ,102
83,26,Community Support                                                               ,1
84,27,Contract Disputes,1
85,29,Credit Bureau Issues                                                            ,102
86,29,Courtesy Update Request                                                         ,9
87,29,Other                                                                           ,11
88,29,Originations | Credit Reporting | Number of Inquiries                                                                                                                                                                                                          ,1
89,29,Dispute Status Removal Request                                                  ,1
90,29,Inquiry Removal                                                                 ,7
91,29,Disagrees With Report                                                           ,180
92,30,Credit Decision (e.g. decision,5
93,30,Credit Decision                                                                                     ,20
94,30,Application Processing Delay                                                    ,1
95,30,Application Denial                                                              ,22
