Column1,SRC_LOB_CORP_ID,SRC_LOB_DESC,Count(*)
1,?,?,7
2,1,Attorney                      ,2288
3,1,Presidential-Attorney         ,216
4,1,LOB - First Data Legal                                                          ,7
5,1,Line of Business-Attorney     ,4
6,1,Non-Regulatory PO Box-Attorney,1793
7,1,LOB - Attorney                                                                  ,452
8,1,LOB - WF Legal                                                                  ,2
9,1,LOB - Legal                                                                     ,2
10,2,Insurance Carrier                                                                                   ,36
11,2,LOB - Authorized Third Party                                                    ,56
12,2,Social Media-A3P              ,5
13,2,Special Interest-A3P          ,2
14,2,Authorized Third Party                                                          ,56
15,2,Line of Business-A3P          ,30
16,2,Presidential-A3P              ,962
17,2,Non-Regulatory PO Box-A3P     ,763
18,2,Authorized 3rd Party          ,881
19,3,LOB - Broker                                                                    ,3
20,3,Broker                                                                          ,1
21,4,Customer                      ,23797
22,4,OBSOLETE ISG Client Exit Survey                                                                     ,1
23,4,Social Media-Customer         ,47
24,4,Special Interest-Customer     ,1
25,4,LOB - Facebook                                                                  ,129
26,4,LOB - Command                                                                   ,9
27,4,Non-Regulatory PO Box-Customer,8710
28,4,Surveys-Customer              ,227
29,4,Synovate Client Survey                                                                              ,3
30,4,Other Client Survey Response                                                                        ,41
31,4,LOB - CheetahMail                                                               ,3
32,4,Presidential-Customer         ,3167
33,4,Line of Business-Customer     ,131
34,4,LOB - Resolution Team                                                           ,597
35,4,LOB - Twitter                                                                   ,391
36,4,LOB - Customer                                                                  ,5553
37,4,Client                                                                                              ,700
38,5,Financial Advisor                                                                                   ,13
39,5,LOB - Financial Advisor                                                         ,4
40,6,LOB - Outside Counsel                                                           ,7
41,6,Outside Counsel                                                                 ,28
42,7,Excellence First                                                                                    ,1
43,7,LOB - Banker Connection                                                         ,1
44,7,LOB - Phone Banker                                                              ,382
45,7,DFS                                                                                                 ,5052
46,7,Phone Banker                                                                                        ,2269
47,7,LOB - Resolution Team                                                           ,32
48,7,LOB - Phone Bank 1st Level Rep                                                  ,3
49,8,Relationship Manager                                                                                ,50
50,8,LOB - Relationship Manager                                                      ,25
51,8,LOB-Relationship Manager,29
52,8,Field Office                                                                                                                                                                                                                                                   ,97
53,9,Store                                                                                               ,323
54,9,LOB - Personal Banker                                                           ,3
55,9,LOB - Store                                                                     ,745
56,9,LOB-Store,622
57,9,LOB - WF Bank                                                                   ,23
58,9,LOB - Store Banker (other)                                                      ,1
59,9,Branch                                                                                              ,3828
60,9,LOB - Regional Banker                                                           ,2
61,9,LOB - Store Mgr                                                                 ,1
62,10,Presidential-Internal         ,688
63,10,LOB - Other                                                                     ,315
64,10,Client Services                                                                                     ,8
65,10,Presidential-U3P              ,436
66,10,Unauthorized 3rd Party        ,1343
67,10,Social Media                                                                                        ,10
68,10,LOB - Operations                                                                ,1
69,10,LOB - Sales                                                                     ,7
70,10,LOB - Debra Rossi                                                               ,4
71,10,OBSOLETE First Clearing Corporation                                                                 ,1
72,10,LOB - PRO (Prevention Risk Operations)                                          ,1
73,10,LOB - Wells Fargo Communications Team                                           ,1
74,10,Non-Regulatory PO Box-Internal,175
75,10,Line of Business-Internal     ,10
76,10,LOB - ADCC/ICCC                                                                 ,1
77,10,Social Media-U3P              ,7
78,10,Surveys-Internal              ,1
79,10,LOB - Dept of Education (DOE)                                                   ,18
80,10,Non-Regulatory PO Box-U3P     ,1239
